entity,name,type,primary_key_type,coding_name,concept,description,folder_path,is_multi_select,is_sparse_coding,linkout,longitudinal_axis_type,referenced_entity_field,relationship,title,units
participant,eid,string,global,,,,Participant Information,,,,,,,Participant ID,
participant,p20077,integer,,,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20077,,,,Number of diet questionnaires completed,
participant,p20078_i0,date,,,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20078,,,,When diet questionnaire completion requested | Instance 0,
participant,p20078_i1,date,,,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20078,,,,When diet questionnaire completion requested | Instance 1,
participant,p20078_i2,date,,,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20078,,,,When diet questionnaire completion requested | Instance 2,
participant,p20078_i3,date,,,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20078,,,,When diet questionnaire completion requested | Instance 3,
participant,p20078_i4,date,,,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20078,,,,When diet questionnaire completion requested | Instance 4,
participant,p20079_i0,integer,,data_coding_73,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20079,,,,Day-of-week questionnaire completion requested | Instance 0,
participant,p20079_i1,integer,,data_coding_73,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20079,,,,Day-of-week questionnaire completion requested | Instance 1,
participant,p20079_i2,integer,,data_coding_73,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20079,,,,Day-of-week questionnaire completion requested | Instance 2,
participant,p20079_i3,integer,,data_coding_73,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20079,,,,Day-of-week questionnaire completion requested | Instance 3,
participant,p20079_i4,integer,,data_coding_73,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20079,,,,Day-of-week questionnaire completion requested | Instance 4,
participant,p20080_i0,integer,,data_coding_73,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20080,,,,Day-of-week questionnaire completed | Instance 0,
participant,p20080_i1,integer,,data_coding_73,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20080,,,,Day-of-week questionnaire completed | Instance 1,
participant,p20080_i2,integer,,data_coding_73,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20080,,,,Day-of-week questionnaire completed | Instance 2,
participant,p20080_i3,integer,,data_coding_73,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20080,,,,Day-of-week questionnaire completed | Instance 3,
participant,p20080_i4,integer,,data_coding_73,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20080,,,,Day-of-week questionnaire completed | Instance 4,
participant,p20081_i0,integer,,,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20081,,,,Hour-of-day questionnaire completed | Instance 0,hours
participant,p20081_i1,integer,,,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20081,,,,Hour-of-day questionnaire completed | Instance 1,hours
participant,p20081_i2,integer,,,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20081,,,,Hour-of-day questionnaire completed | Instance 2,hours
participant,p20081_i3,integer,,,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20081,,,,Hour-of-day questionnaire completed | Instance 3,hours
participant,p20081_i4,integer,,,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20081,,,,Hour-of-day questionnaire completed | Instance 4,hours
participant,p20082_i0,integer,,,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20082,,,,Duration of questionnaire | Instance 0,minutes
participant,p20082_i1,integer,,,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20082,,,,Duration of questionnaire | Instance 1,minutes
participant,p20082_i2,integer,,,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20082,,,,Duration of questionnaire | Instance 2,minutes
participant,p20082_i3,integer,,,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20082,,,,Duration of questionnaire | Instance 3,minutes
participant,p20082_i4,integer,,,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20082,,,,Duration of questionnaire | Instance 4,minutes
participant,p20083_i0,integer,,,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20083,,,,Delay between questionnaire request and completion | Instance 0,days
participant,p20083_i1,integer,,,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20083,,,,Delay between questionnaire request and completion | Instance 1,days
participant,p20083_i2,integer,,,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20083,,,,Delay between questionnaire request and completion | Instance 2,days
participant,p20083_i3,integer,,,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20083,,,,Delay between questionnaire request and completion | Instance 3,days
participant,p20083_i4,integer,,,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20083,,,,Delay between questionnaire request and completion | Instance 4,days
